"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Lokaliseringen van gemeenten/COROP-gebieden/Code (code)";"Lokaliseringen van gemeenten/COROP-gebieden/Naam (naam)";"Lokaliseringen van gemeenten/GGD-regio's/Code (code)";"Lokaliseringen van gemeenten/GGD-regio's/Naam (naam)";"Lokaliseringen van gemeenten/Jeugdregio's/Code (code)";"Lokaliseringen van gemeenten/Jeugdregio's/Naam (naam)";"Lokaliseringen van gemeenten/Toeristengebieden/Code (code)";"Lokaliseringen van gemeenten/Toeristengebieden/Naam (naam)";"Lokaliseringen van gemeenten/Veiligheidsregio's/Code (code)";"Lokaliseringen van gemeenten/Veiligheidsregio's/Naam (naam)"
"Bodegraven-Reeuwijk";"GM1901    ";"Bodegraven-Reeuwijk                               ";"CR28      ";"Oost-Zuid-Holland                                 ";"GG4506    ";"GGD Hollands-Midden                               ";"JZ27      ";"Midden Holland                                    ";"TR06      ";"Hollands-Utrechtse meren                          ";"VR16      ";"Hollands-Midden                                   "
"Boekel";"GM0755    ";"Boekel                                            ";"CR35      ";"Noordoost-Noord-Brabant                           ";"GG5406    ";"GGD Hart voor Brabant                             ";"JZ33      ";"Noordoost Brabant                                 ";"TR14      ";"O.-Brabant, N.- en M.-Limburg, Nijmegen           ";"VR21      ";"Brabant-Noord                                     "
"Borger-Odoorn";"GM1681    ";"Borger-Odoorn                                     ";"CR08      ";"Zuidoost-Drenthe                                  ";"GG0706    ";"GGD Drenthe                                       ";"JZ04      ";"Drenthe                                           ";"TR12      ";"Groningse, Friese en Drentse Zandgronden          ";"VR03      ";"Drenthe                                           "
"Borne";"GM0147    ";"Borne                                             ";"CR12      ";"Twente                                            ";"GG1106    ";"GGD Twente                                        ";"JZ14      ";"Twente                                            ";"TR11      ";"Twente, Salland en Vechtstreek                    ";"VR05      ";"Twente                                            "
"Borsele";"GM0654    ";"Borsele                                           ";"CR32      ";"Overig Zeeland                                    ";"GG5006    ";"GGD Zeeland                                       ";"JZ38      ";"Zeeland                                           ";"TR04      ";"Deltagebied                                       ";"VR19      ";"Zeeland                                           "
"Boxtel";"GM0757    ";"Boxtel                                            ";"CR35      ";"Noordoost-Noord-Brabant                           ";"GG5406    ";"GGD Hart voor Brabant                             ";"JZ33      ";"Noordoost Brabant                                 ";"TR13      ";"West- en Midden-Brabant                           ";"VR21      ";"Brabant-Noord                                     "
"Breda";"GM0758    ";"Breda                                             ";"CR33      ";"West-Noord-Brabant                                ";"GG5206    ";"GGD West-Brabant                                  ";"JZ34      ";"West Brabant Oost                                 ";"TR13      ";"West- en Midden-Brabant                           ";"VR20      ";"Midden- en West-Brabant                           "
"Brielle";"GM0501    ";"Brielle                                           ";"CR29      ";"Groot-Rijnmond                                    ";"GG4607    ";"GGD Rotterdam-Rijnmond                            ";"JZ29      ";"Rijnmond                                          ";"TR04      ";"Deltagebied                                       ";"VR17      ";"Rotterdam-Rijnmond                                "
"Bronckhorst";"GM1876    ";"Bronckhorst                                       ";"CR14      ";"Achterhoek                                        ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     ";"JZ25      ";"Achterhoek                                        ";"TR10      ";"Achterhoek                                        ";"VR06      ";"Noord- en Oost-Gelderland                         "
"Brummen";"GM0213    ";"Brummen                                           ";"CR14      ";"Achterhoek                                        ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     ";"JZ17      ";"Midden IJssel / Oost Veluwe                       ";"TR08      ";"Veluwe en Veluwerand                              ";"VR06      ";"Noord- en Oost-Gelderland                         "
"Brunssum";"GM0899    ";"Brunssum                                          ";"CR39      ";"Zuid-Limburg                                      ";"GG6106    ";"GGD Zuid-Limburg                                  ";"JZ41      ";"Zuid-Limburg                                      ";"TR15      ";"Zuid-Limburg                                      ";"VR24      ";"Limburg-Zuid                                      "
"Bunnik";"GM0312    ";"Bunnik                                            ";"CR17      ";"Utrecht                                           ";"GG2514    ";"GGD Regio Utrecht                                 ";"JZ23      ";"Zuidoost Utrecht                                  ";"TR17      ";"Overig Nederland                                  ";"VR09      ";"Utrecht                                           "
"Bunschoten";"GM0313    ";"Bunschoten                                        ";"CR17      ";"Utrecht                                           ";"GG2514    ";"GGD Regio Utrecht                                 ";"JZ20      ";"Eemland                                           ";"TR03      ";"IJsselmeerkust                                    ";"VR09      ";"Utrecht                                           "
"Buren";"GM0214    ";"Buren                                             ";"CR16      ";"Zuidwest-Gelderland                               ";"GG2014    ";"GGD Gelderland-Zuid                               ";"JZ30      ";"Rivierenland                                      ";"TR09      ";"Gelders Rivierengebied                            ";"VR08      ";"Gelderland-Zuid                                   "
"Capelle aan den IJssel";"GM0502    ";"Capelle aan den IJssel                            ";"CR29      ";"Groot-Rijnmond                                    ";"GG4607    ";"GGD Rotterdam-Rijnmond                            ";"JZ29      ";"Rijnmond                                          ";"TR17      ";"Overig Nederland                                  ";"VR17      ";"Rotterdam-Rijnmond                                "
"Castricum";"GM0383    ";"Castricum                                         ";"CR20      ";"IJmond                                            ";"GG2707    ";"GGD Hollands-Noorden                              ";"JZ06      ";"Alkmaar (Noord-Kennemerland)                      ";"TR02      ";"Noordzeebadplaatsen                               ";"VR10      ";"Noord-Holland-Noord                               "
"Coevorden";"GM0109    ";"Coevorden                                         ";"CR08      ";"Zuidoost-Drenthe                                  ";"GG0706    ";"GGD Drenthe                                       ";"JZ04      ";"Drenthe                                           ";"TR12      ";"Groningse, Friese en Drentse Zandgronden          ";"VR03      ";"Drenthe                                           "
"Cranendonck";"GM1706    ";"Cranendonck                                       ";"CR36      ";"Zuidoost-Noord-Brabant                            ";"GG5608    ";"GGD Brabant-Zuidoost                              ";"JZ39      ";"Zuidoost-Brabant                                  ";"TR14      ";"O.-Brabant, N.- en M.-Limburg, Nijmegen           ";"VR22      ";"Brabant-Zuidoost                                  "
"Culemborg";"GM0216    ";"Culemborg                                         ";"CR16      ";"Zuidwest-Gelderland                               ";"GG2014    ";"GGD Gelderland-Zuid                               ";"JZ30      ";"Rivierenland                                      ";"TR09      ";"Gelders Rivierengebied                            ";"VR08      ";"Gelderland-Zuid                                   "
"Dalfsen";"GM0148    ";"Dalfsen                                           ";"CR10      ";"Noord-Overijssel                                  ";"GG1009    ";"GGD IJsselland                                    ";"JZ07      ";"IJsselland                                        ";"TR11      ";"Twente, Salland en Vechtstreek                    ";"VR04      ";"IJsselland                                        "
"Dantumadiel";"GM1891    ";"Dantumadiel                                       ";"CR04      ";"Noord-Friesland                                   ";"GG7206    ";"GGD Fryslân                                       ";"JZ02      ";"Friesland (Fryslân)                               ";"TR17      ";"Overig Nederland                                  ";"VR02      ";"Fryslân                                           "
"Delft";"GM0503    ";"Delft                                             ";"CR27      ";"Delft en Westland                                 ";"GG7014    ";"GGD Haaglanden                                    ";"JZ24      ";"Haaglanden                                        ";"TR17      ";"Overig Nederland                                  ";"VR15      ";"Haaglanden                                        "
"Deurne";"GM0762    ";"Deurne                                            ";"CR36      ";"Zuidoost-Noord-Brabant                            ";"GG5608    ";"GGD Brabant-Zuidoost                              ";"JZ39      ";"Zuidoost-Brabant                                  ";"TR14      ";"O.-Brabant, N.- en M.-Limburg, Nijmegen           ";"VR22      ";"Brabant-Zuidoost                                  "
"Deventer";"GM0150    ";"Deventer                                          ";"CR11      ";"Zuidwest-Overijssel                               ";"GG1009    ";"GGD IJsselland                                    ";"JZ07      ";"IJsselland                                        ";"TR11      ";"Twente, Salland en Vechtstreek                    ";"VR04      ";"IJsselland                                        "
"Diemen";"GM0384    ";"Diemen                                            ";"CR23      ";"Groot-Amsterdam                                   ";"GG3406    ";"GGD Amsterdam                                     ";"JZ13      ";"Amsterdam-Amstelland                              ";"TR17      ";"Overig Nederland                                  ";"VR13      ";"Amsterdam-Amstelland                              "
"Dijk en Waard";"GM1980    ";"Dijk en Waard                                     ";"CR19      ";"Alkmaar en omgeving                               ";"GG2707    ";"GGD Hollands-Noorden                              ";"JZ06      ";"Alkmaar (Noord-Kennemerland)                      ";"TR17      ";"Overig Nederland                                  ";"VR10      ";"Noord-Holland-Noord                               "
"Dinkelland";"GM1774    ";"Dinkelland                                        ";"CR12      ";"Twente                                            ";"GG1106    ";"GGD Twente                                        ";"JZ14      ";"Twente                                            ";"TR11      ";"Twente, Salland en Vechtstreek                    ";"VR05      ";"Twente                                            "
"Doesburg";"GM0221    ";"Doesburg                                          ";"CR15      ";"Arnhem/Nijmegen                                   ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden";"JZ28      ";"Centraal Gelderland                               ";"TR10      ";"Achterhoek                                        ";"VR07      ";"Gelderland-Midden                                 "
"Doetinchem";"GM0222    ";"Doetinchem                                        ";"CR14      ";"Achterhoek                                        ";"GG1413    ";"GGD Noord- en Oost-Gelderland                     ";"JZ25      ";"Achterhoek                                        ";"TR10      ";"Achterhoek                                        ";"VR06      ";"Noord- en Oost-Gelderland                         "
"Dongen";"GM0766    ";"Dongen                                            ";"CR34      ";"Midden-Noord-Brabant                              ";"GG5406    ";"GGD Hart voor Brabant                             ";"JZ35      ";"Midden-Brabant                                    ";"TR13      ";"West- en Midden-Brabant                           ";"VR20      ";"Midden- en West-Brabant                           "
"Dordrecht";"GM0505    ";"Dordrecht                                         ";"CR30      ";"Zuidoost-Zuid-Holland                             ";"GG4816    ";"Dienst Gezondheid & Jeugd ZHZ                     ";"JZ31      ";"Zuid-Holland Zuid                                 ";"TR04      ";"Deltagebied                                       ";"VR18      ";"Zuid-Holland-Zuid                                 "
"Drechterland";"GM0498    ";"Drechterland                                      ";"CR18      ";"Kop van Noord-Holland                             ";"GG2707    ";"GGD Hollands-Noorden                              ";"JZ05      ";"West Friesland                                    ";"TR03      ";"IJsselmeerkust                                    ";"VR10      ";"Noord-Holland-Noord                               "
"Drimmelen";"GM1719    ";"Drimmelen                                         ";"CR33      ";"West-Noord-Brabant                                ";"GG5206    ";"GGD West-Brabant                                  ";"JZ34      ";"West Brabant Oost                                 ";"TR04      ";"Deltagebied                                       ";"VR20      ";"Midden- en West-Brabant                           "
"Dronten";"GM0303    ";"Dronten                                           ";"CR40      ";"Flevoland                                         ";"GG2209    ";"GGD Flevoland                                     ";"JZ08      ";"Flevoland                                         ";"TR03      ";"IJsselmeerkust                                    ";"VR25      ";"Flevoland                                         "
"Druten";"GM0225    ";"Druten                                            ";"CR15      ";"Arnhem/Nijmegen                                   ";"GG2014    ";"GGD Gelderland-Zuid                               ";"JZ32      ";"Rijk van Nijmegen                                 ";"TR09      ";"Gelders Rivierengebied                            ";"VR08      ";"Gelderland-Zuid                                   "
"Duiven";"GM0226    ";"Duiven                                            ";"CR15      ";"Arnhem/Nijmegen                                   ";"GG1911    ";"Veiligheids- en Gezondheidsregio Gelderland-Midden";"JZ28      ";"Centraal Gelderland                               ";"TR10      ";"Achterhoek                                        ";"VR07      ";"Gelderland-Midden                                 "
